# time_ms,control,value
13915,start,1
14036,start,0
14935,a,1
15053,a,0
16012,a,1
16177,a,0
21846,a,1
22042,a,0
36031,rstick_y,-1212
36037,rstick_y,-1212
36047,rstick_y,-1212
36053,rstick_y,-1212
36061,rstick_x,-1152
36061,rstick_y,-1819
36069,rstick_x,-1152
36069,rstick_y,-1819
36072,rstick_x,-1152
36072,rstick_y,-1819
36077,rstick_x,-1152
36077,rstick_y,-1819
36085,rstick_x,-1152
36085,rstick_y,-1819
36095,rstick_x,-1683
36095,rstick_y,-2243
36101,rstick_x,-1683
36101,rstick_y,-2243
36109,rstick_x,-1683
36109,rstick_y,-2243
36117,rstick_x,-1683
36117,rstick_y,-2243
36120,rstick_x,-3320
36120,rstick_y,-3620
36123,rstick_x,-3320
36123,rstick_y,-3620
36133,rstick_x,-3320
36133,rstick_y,-3620
36140,rstick_x,-4459
36140,rstick_y,-4747
36146,rstick_x,-5751
36146,rstick_y,-11541
36149,rstick_x,-5751
36149,rstick_y,-11541
36153,rstick_x,-5751
36153,rstick_y,-11541
36162,rstick_x,-5751
36162,rstick_y,-11541
36165,rstick_x,-5751
36165,rstick_y,-11541
36177,rstick_x,-5751
36177,rstick_y,-11541
36183,rstick_x,-5751
36183,rstick_y,-11541
36189,rstick_x,-13091
36189,rstick_y,-13085
36195,rstick_x,-13091
36195,rstick_y,-13085
36205,rstick_x,-13091
36205,rstick_y,-13085
36212,rstick_x,-13590
36212,rstick_y,-13803
36216,rstick_x,-13590
36216,rstick_y,-13803
36220,rstick_x,-14179
36220,rstick_y,-14515
36234,rstick_x,-14179
36234,rstick_y,-14515
36237,rstick_x,-14830
36237,rstick_y,-15212
36245,rstick_x,-14830
36245,rstick_y,-15212
36253,rstick_x,-14830
36253,rstick_y,-15212
36261,rstick_x,-15443
36261,rstick_y,-15869
36263,rstick_x,-16043
36263,rstick_y,-16433
36271,rstick_x,-16043
36271,rstick_y,-16433
36277,rstick_x,-16043
36277,rstick_y,-16433
36285,rstick_x,-16043
36285,rstick_y,-16433
36289,rstick_x,-16610
36289,rstick_y,-16974
36293,rstick_x,-17104
36293,rstick_y,-17412
36296,rstick_x,-17104
36296,rstick_y,-17412
36301,rstick_x,-17104
36301,rstick_y,-17412
36309,rstick_x,-17104
36309,rstick_y,-17412
36318,rstick_x,-17104
36318,rstick_y,-17412
36325,rstick_x,-17104
36325,rstick_y,-17412
36333,rstick_x,-17104
36333,rstick_y,-17412
36339,rstick_x,-18113
36339,rstick_y,-18293
36351,rstick_x,-18113
36351,rstick_y,-18293
36360,rstick_x,-18113
36360,rstick_y,-18293
36362,rstick_x,-18324
36362,rstick_y,-18478
36370,rstick_x,-18499
36370,rstick_y,-18626
36383,rstick_x,-18499
36383,rstick_y,-18626
36393,rstick_x,-18499
36393,rstick_y,-18626
36399,rstick_x,-18499
36399,rstick_y,-18626
36403,rstick_x,-18751
36403,rstick_y,-18833
36409,rstick_x,-18751
36409,rstick_y,-18833
36414,rstick_x,-18751
36414,rstick_y,-18833
36425,rstick_x,-18751
36425,rstick_y,-18833
36429,rstick_x,-18751
36429,rstick_y,-18833
36437,rstick_x,-18911
36437,rstick_y,-18956
36445,rstick_x,-18911
36445,rstick_y,-18956
36460,rstick_x,-18911
36460,rstick_y,-18956
36469,rstick_x,-18911
36469,rstick_y,-18956
36475,rstick_x,-19014
36475,rstick_y,-18956
36481,rstick_x,-19014
36481,rstick_y,-18956
36490,rstick_x,-19014
36490,rstick_y,-18956
36495,rstick_x,-19014
36495,rstick_y,-18956
36498,rstick_x,-19070
36498,rstick_y,-18956
36503,rstick_x,-19070
36503,rstick_y,-18956
36510,rstick_x,-19070
36510,rstick_y,-18956
36517,rstick_x,-19070
36517,rstick_y,-18956
36531,rstick_x,-19070
36531,rstick_y,-18956
36536,rstick_x,-19070
36536,rstick_y,-18956
36541,rstick_x,-19070
36541,rstick_y,-18956
36549,rstick_x,-19070
36549,rstick_y,-18956
36557,rstick_x,-19070
36557,rstick_y,-18956
36561,rstick_x,-19070
36561,rstick_y,-18956
36565,rstick_x,-19070
36565,rstick_y,-18956
36570,rstick_x,-19070
36570,rstick_y,-18956
36581,rstick_x,-19070
36581,rstick_y,-18956
36591,rstick_x,-19070
36591,rstick_y,-18956
36598,rstick_x,-19070
36598,rstick_y,-18956
36605,rstick_x,-19070
36605,rstick_y,-18956
36616,rstick_x,-19070
36616,rstick_y,-18956
36624,rstick_x,-19070
36624,rstick_y,-18956
36628,rstick_x,-19070
36628,rstick_y,-18956
36631,rstick_x,-19070
36631,rstick_y,-18956
36637,rstick_x,-19070
36637,rstick_y,-18956
36659,rstick_x,-19070
36659,rstick_y,-18956
36669,rstick_x,-19070
36669,rstick_y,-18956
36677,rstick_x,-19070
36677,rstick_y,-18956
36685,rstick_x,-19070
36685,rstick_y,-18956
36694,rstick_x,-19070
36694,rstick_y,-18956
36701,rstick_x,-19070
36701,rstick_y,-18956
36704,rstick_x,-19070
36704,rstick_y,-18956
36709,rstick_x,-19070
36709,rstick_y,-18956
36717,rstick_x,-19070
36717,rstick_y,-18956
36727,rstick_x,-19070
36727,rstick_y,-18956
36734,rstick_x,-19070
36734,rstick_y,-18956
36737,rstick_x,-19070
