# time_ms,control,value
10596,a,1
10596,lstick_x,1178
10600,lstick_x,1178
10605,lstick_x,1178
10609,lstick_x,1178
10611,lstick_x,1178
10615,lstick_x,1178
10618,lstick_x,1178
10620,lstick_x,1178
10624,lstick_x,1178
10627,lstick_x,1178
10630,lstick_x,1178
10633,lstick_x,1178
10637,lstick_x,1178
10640,lstick_x,1178
10643,lstick_x,1178
10646,lstick_x,1178
10649,lstick_x,1178
10654,lstick_x,1178
10657,lstick_x,1178
10660,lstick_x,1178
10663,lstick_x,1178
10666,lstick_x,1178
10670,lstick_x,1178
10674,lstick_x,1178
10676,lstick_x,1178
10680,lstick_x,1178
10683,lstick_x,1178
10689,lstick_x,1178
10692,lstick_x,1178
10695,lstick_x,1178
10698,lstick_x,1178
10704,lstick_x,1178
10707,lstick_x,1178
10710,lstick_x,1178
10713,lstick_x,1178
10716,lstick_x,1178
10720,lstick_x,1178
10723,lstick_x,1178
10726,lstick_x,1178
10729,lstick_x,1178
10732,lstick_x,1178
10737,lstick_x,1178
10740,lstick_x,1178
10743,lstick_x,1178
10746,lstick_x,1178
10749,lstick_x,1178
10754,lstick_x,1178
10757,lstick_x,1178
10759,lstick_x,1178
10763,lstick_x,1178
10766,lstick_x,1178
10770,lstick_x,1178
10774,lstick_x,1178
10777,lstick_x,1178
10780,lstick_x,1178
10783,lstick_x,1178
10787,lstick_x,1178
10790,lstick_x,1178
10793,a,0
10793,lstick_x,1178
10796,lstick_x,1178
10799,lstick_x,1178
10803,lstick_x,1178
10806,lstick_x,1178
10809,lstick_x,1178
10812,lstick_x,1178
10815,lstick_x,1178
10820,lstick_x,1178
10823,lstick_x,1178
10826,lstick_x,1178
10829,lstick_x,1178
10832,lstick_x,1178
10837,lstick_x,1178
10840,lstick_x,1178
10843,lstick_x,1178
10846,lstick_x,1178
10849,lstick_x,1178
10854,lstick_x,1178
10857,lstick_x,1178
10861,lstick_x,1178
10864,lstick_x,1178
10867,lstick_x,1178
10870,lstick_x,1178
10873,lstick_x,1178
10877,lstick_x,1178
10879,lstick_x,1178
10883,lstick_x,1178
10887,lstick_x,1178
10890,lstick_x,1178
10893,lstick_x,1178
10896,lstick_x,1178
10899,lstick_x,1178
10904,lstick_x,1178
10907,lstick_x,1178
10910,lstick_x,1178
10914,lstick_x,1178
10917,lstick_x,1178
10921,lstick_x,1178
10925,lstick_x,1178
10929,lstick_x,1178
10932,lstick_x,1178
10937,lstick_x,1178
10940,lstick_x,1178
10944,lstick_x,1178
10946,lstick_x,1178
10950,lstick_x,1178
10954,lstick_x,1178
10957,lstick_x,1178
10960,lstick_x,1178
10962,lstick_x,1178
10966,lstick_x,1178
10970,lstick_x,1178
10974,lstick_x,1178
10976,lstick_x,1178
10979,lstick_x,1178
10982,lstick_x,1178
10987,lstick_x,1178
10990,lstick_x,1178
10993,lstick_x,1178
10996,lstick_x,1178
10999,lstick_x,1178
11004,lstick_x,1178
11007,lstick_x,1178
11010,lstick_x,1178
11013,lstick_x,1178
11015,lstick_x,1178
11020,lstick_x,1178
11023,lstick_x,1178
11027,lstick_x,1178
11030,lstick_x,1178
11033,lstick_x,1178
11037,lstick_x,1178
11040,lstick_x,1178
11043,lstick_x,1178
11046,lstick_x,1178
11049,lstick_x,1178
11054,lstick_x,1178
11057,lstick_x,1178
11060,lstick_x,1178
11063,lstick_x,1178
11066,lstick_x,1178
11070,lstick_x,1178
11074,lstick_x,1178
11076,lstick_x,1178
11079,lstick_x,1178
11082,lstick_x,1178
11087,lstick_x,1178
11090,lstick_x,1178
11093,lstick_x,1178
11097,lstick_x,1178
11099,lstick_x,1178
11103,lstick_x,1178
11107,lstick_x,1178
11110,lstick_x,1178
11113,lstick_x,1178
11116,lstick_x,1178
