# time_ms,control,value
21387,a,1
21387,lstick_x,1198
21391,lstick_x,1198
21397,lstick_x,1198
21400,lstick_x,1198
21403,lstick_x,1198
21407,lstick_x,1198
21410,lstick_x,1198
21413,lstick_x,1198
21416,lstick_x,1198
21419,lstick_x,1198
21422,lstick_x,1198
21426,lstick_x,1198
21429,lstick_x,1198
21432,lstick_x,1198
21435,lstick_x,1198
21438,lstick_x,1198
21441,lstick_x,1198
21445,lstick_x,1198
21448,lstick_x,1198
21451,lstick_x,1198
21455,lstick_x,1198
21457,lstick_x,1198
21461,lstick_x,1198
21464,lstick_x,1198
21468,lstick_x,1198
21471,lstick_x,1198
21474,lstick_x,1198
21477,lstick_x,1198
21480,lstick_x,1198
21483,lstick_x,1198
21487,lstick_x,1198
21490,lstick_x,1198
21493,lstick_x,1198
21499,lstick_x,1198
21501,lstick_x,1198
21504,lstick_x,1198
21508,lstick_x,1198
21513,lstick_x,1198
21517,lstick_x,1198
21520,lstick_x,1198
21523,lstick_x,1198
21526,lstick_x,1198
21532,lstick_x,1198
21536,lstick_x,1198
21539,lstick_x,1198
21542,lstick_x,1198
21548,lstick_x,1198
21551,lstick_x,1198
21555,lstick_x,1198
21558,lstick_x,1198
21561,lstick_x,1198
21564,lstick_x,1198
21567,lstick_x,1198
21570,lstick_x,1198
21573,lstick_x,1198
21576,lstick_x,1198
21581,lstick_x,1198
21584,a,0
21584,lstick_x,1198
21587,lstick_x,1198
21590,lstick_x,1198
21593,lstick_x,1198
21597,lstick_x,1198
21600,lstick_x,1198
21603,lstick_x,1198
21605,lstick_x,1198
21608,lstick_x,1198
21613,lstick_x,1198
21616,lstick_x,1198
21619,lstick_x,1198
21622,lstick_x,1198
21625,lstick_x,1198
21629,lstick_x,1198
21632,lstick_x,1198
21635,lstick_x,1198
21639,lstick_x,1198
21642,lstick_x,1198
21645,lstick_x,1198
21648,lstick_x,1198
21651,lstick_x,1198
21654,lstick_x,1198
21656,lstick_x,1198
21660,lstick_x,1198
21664,lstick_x,1198
21667,lstick_x,1198
21670,lstick_x,1198
21673,lstick_x,1198
21676,lstick_x,1198
21680,lstick_x,1198
21683,lstick_x,1198
21687,lstick_x,1198
21689,lstick_x,1198
21693,lstick_x,1198
21696,lstick_x,1198
21699,lstick_x,1198
21702,lstick_x,1198
21705,lstick_x,1198
21708,lstick_x,1198
21713,lstick_x,1198
21716,lstick_x,1198
21719,lstick_x,1198
21722,lstick_x,1198
21725,lstick_x,1198
21732,lstick_x,1198
21735,lstick_x,1198
21739,lstick_x,1198
21742,lstick_x,1198
