# time_ms,control,value
21547,a,1
21690,a,0
24017,start,1
24377,start,0
25995,a,1
26120,a,0
27492,dpad_left,1
27627,dpad_left,0
27950,a,1
28083,a,0
30194,dpad_up,1
30347,dpad_up,0
30656,dpad_up,1
30834,dpad_up,0
31921,dpad_down,1
32103,dpad_down,0
32642,dpad_up,1
32819,dpad_up,0
33000,dpad_up,1
33179,dpad_up,0
33763,dpad_right,1
33931,dpad_right,0
34483,a,1
34634,a,0
37299,a,1
37371,a,0
39711,a,1
39870,a,0
55743,rstick_x,-1085
55749,rstick_x,-1085
55755,rstick_x,-1085
55763,rstick_x,-1085
55775,rstick_x,-1085
55783,rstick_x,-1673
55787,rstick_x,-1673
55790,rstick_x,-1890
55795,rstick_x,-1890
55803,rstick_x,-1890
55811,rstick_x,-2068
55820,rstick_x,-2068
55822,rstick_x,-2188
55827,rstick_x,-2188
55836,rstick_x,-2188
55843,rstick_x,-2172
55850,rstick_x,-2048
55854,rstick_x,-2048
55859,rstick_x,-2048
55867,rstick_x,-2048
55875,rstick_x,-2048
55883,rstick_x,-1718
55886,rstick_x,-1718
55891,rstick_x,-1718
55899,rstick_x,-1718
55904,rstick_x,-1445
55904,rstick_y,-1057
55907,rstick_x,-1445
55907,rstick_y,-1057
55915,rstick_x,-1445
55915,rstick_y,-1057
55923,rstick_x,-1445
55923,rstick_y,-1057
55929,rstick_x,-1343
55929,rstick_y,-1057
55937,rstick_x,-1250
55937,rstick_y,-1113
55947,rstick_x,-1250
55947,rstick_y,-1113
55955,rstick_x,-1250
55955,rstick_y,-1113
55963,rstick_x,-1170
55963,rstick_y,-1113
55971,rstick_x,-1170
55971,rstick_y,-1113
55979,rstick_x,-1170
55979,rstick_y,-1113
55987,rstick_x,-1170
55987,rstick_y,-1113
55996,rstick_x,-1170
55996,rstick_y,-1113
56004,rstick_x,-1024
56004,rstick_y,-1158
56012,rstick_x,-1024
56012,rstick_y,-1158
56019,rstick_x,-1024
56019,rstick_y,-1158
56027,rstick_x,-1024
56027,rstick_y,-1158
56035,rstick_x,-1024
56035,rstick_y,-1158
56043,rstick_x,-1024
56043,rstick_y,-1158
56051,rstick_y,-1158
56059,rstick_y,-1158
56067,rstick_y,-1158
56074,rstick_y,-1158
56076,rstick_y,-1158
56084,rstick_y,-1158
56091,start,1
56091,rstick_y,-1158
56099,rstick_y,-1158
56108,rstick_y,-1158
56117,rstick_y,-1158
56126,rstick_y,-1158
56131,rstick_y,-1158
56139,rstick_y,-1158
56147,rstick_y,-1158
56154,rstick_y,-1158
56159,rstick_y,-1158
56162,rstick_y,-1158
56166,rstick_y,-1158
56170,rstick_y,-1158
56179,rstick_y,-1158
56192,rstick_y,-1158
56195,rstick_y,-1158
56204,rstick_y,-1158
56207,start,0
56207,rstick_y,-1158
56211,rstick_y,-1158
56219,rstick_y,-1158
56227,rstick_y,-1158
56235,rstick_y,-1158
56242,rstick_y,-1158
56252,rstick_y,-1158
56256,rstick_y,-1158
56260,rstick_y,-1158
56263,rstick_y,-1158
56267,rstick_y,-1158
56275,rstick_y,-1158
56283,rstick_y,-1158
56291,rstick_y,-1158
56299,rstick_y,-1158
56307,rstick_y,-1158
56315,rstick_y,-1158
56323,rstick_y,-1158
56331,rstick_y,-1158
56339,rstick_y,-1158
56347,rstick_y,-1158
56355,rstick_y,-1158
56363,rstick_y,-1158
56371,rstick_y,-1158
56380,rstick_y,-1158
56387,rstick_y,-1158
56395,rstick_y,-1158
56403,rstick_y,-1158
56411,rstick_y,-1158
56419,rstick_y,-1158
56427,rstick_y,-1158
56435,rstick_y,-1158
56443,rstick_y,-1158
56451,rstick_y,-1158
56459,rstick_y,-1158
56467,rstick_y,-1158
56472,rstick_y,-1158
56475,rstick_y,-1158
56483,rstick_y,-1158
56491,rstick_y,-1158
56499,rstick_y,-1158
56507,rstick_y,-1158
56515,rstick_y,-1158
56523,rstick_y,-1158
56531,rstick_y,-1158
56539,rstick_y,-1158
56547,rstick_y,-1158
56555,rstick_y,-1158
56563,rstick_y,-1158
56571,rstick_y,-1158
56579,rstick_y,-1158
56584,rstick_y,-1158
56587,rstick_y,-1158
56595,rstick_y,-1158
56603,rstick_y,-1158
56611,rstick_y,-1158
56620,rstick_y,-1158
56628,rstick_y,-1158
56635,rstick_y,-1158
56645,rstick_y,-1158
56811,rstick_y,-1158
68378,start,1
68490,start,0
71207,lstick_y,-1107
71210,lstick_y,-1107
71216,lstick_y,-1107
71219,lstick_y,-1107
71227,lstick_y,-1107
71235,lstick_y,-1107
71243,lstick_y,-1116
71252,lstick_y,-1116
71259,lstick_y,-1116
71267,lstick_y,-1116
71275,lstick_y,-1116
71283,lstick_y,-1116
71288,lstick_y,-1116
71291,lstick_y,-1116
71295,lstick_y,-1116
71299,lstick_y,-1116
71307,lstick_y,-1116
71316,lstick_y,-1116
71324,lstick_y,-1116
71331,lstick_y,-1116
71339,lstick_y,-1116
71348,lstick_y,-1116
71355,lstick_y,-1116
71363,lstick_y,-1116
71371,lstick_y,-1116
71377,lstick_y,-1116
71380,lstick_y,-1116
71383,lstick_y,-1116
71387,lstick_y,-1116
71395,lstick_y,-1116
71404,lstick_y,-1116
71411,lstick_y,-1116
71419,lstick_y,-1116
71427,lstick_y,-1116
71436,lstick_y,-1116
71443,lstick_y,-1116
71451,lstick_y,-1116
71456,lstick_y,-1215
71459,lstick_y,-1215
71462,lstick_y,-1215
71467,lstick_y,-1215
71475,lstick_y,-1215
71483,lstick_y,-1215
71490,lstick_y,-1215
71499,lstick_y,-1215
71507,lstick_y,-1215
71515,lstick_y,-1215
71523,lstick_y,-1215
71531,lstick_y,-1215
71538,lstick_y,-1215
71542,lstick_y,-1215
71546,lstick_y,-1215
71555,lstick_y,-1215
71563,lstick_y,-1215
71572,lstick_y,-1215
71605,lstick_y,-1215
71612,lstick_y,-1215
71619,lstick_y,-1215
71622,lstick_y,-1215
71628,lstick_y,-1215
71633,lstick_y,-1215
71643,lstick_y,-1215
71651,lstick_y,-1215
71654,lstick_y,-1215
71659,lstick_y,-1215
71667,lstick_y,-1215
71675,lstick_y,-1215
71684,lstick_y,-1215
71691,lstick_y,-1215
71699,lstick_y,-1215
71705,lstick_y,-1215
71708,lstick_y,-1215
71712,lstick_y,-1215
71715,lstick_y,-1215
71723,lstick_y,-1215
71731,lstick_y,-1215
71738,lstick_y,-1215
71747,lstick_y,-1215
71755,lstick_y,-1215
71763,lstick_y,-1215
71771,lstick_y,-1215
71779,lstick_y,-1215
71787,lstick_y,-1300
71791,lstick_y,-1300
71795,lstick_y,-1300
71800,lstick_y,-1300
71803,lstick_y,-1300
71811,lstick_y,-1300
71819,lstick_y,-1300
71824,lstick_y,-1300
71827,lstick_y,-1300
71835,lstick_y,-1300
71843,lstick_y,-1300
71851,lstick_y,-1300
71859,lstick_y,-1300
71867,lstick_y,-1300
71873,lstick_y,-1300
71877,lstick_y,-1300
71883,lstick_y,-1300
71891,lstick_y,-1300
71899,lstick_y,-1300
71906,lstick_y,-1300
71915,lstick_y,-1300
71923,lstick_y,-1300
71931,lstick_y,-1300
71939,lstick_y,-1300
71947,lstick_y,-1300
71955,lstick_y,-1300
71959,lstick_y,-1300
71963,lstick_y,-1300
71967,lstick_y,-1300
71971,lstick_y,-1300
71979,lstick_y,-1300
